Images,Titles,Brands,Actual Prices,Sales Prices,Discounts,Categories
https://rukminim2.flixcart.com/image/612/612/xif0q/t-shirt/q/r/i/4xl-68709201-puma-original-imahcm8aczcsqmtc.jpeg?q=70,Men Printed Crew Neck Cotton Blend Black T-Shirt,PUMA,"₹1,499",₹639,57% off,Hot Deal
https://rukminim2.flixcart.com/image/612/612/xif0q/t-shirt/n/q/d/s-st-6038-black-smartees-original-imahbhm7b3mhkndg.jpeg?q=70,Men Printed Round Neck Cotton Blend Black T-Shirt,Smartees,"₹1,599",₹398,75% off,Only few left
https://rukminim2.flixcart.com/image/612/612/xif0q/t-shirt/c/j/l/s-togr-mrhnful-d144-tripr-original-imahdya5xyzymaxm.jpeg?q=70,Pack of 2 Men Solid Henley Neck Cotton Blend Dark Green...,TRIPR,"₹1,999",₹480,75% off,
https://rukminim2.flixcart.com/image/612/612/xif0q/t-shirt/f/3/1/m-fsmtsrt-2043-kajaru-original-imah98wy5hhmg32p.jpeg?q=70,Men Printed Round Neck Polyester Green T-Shirt,KAJARU,₹999,₹294,70% off,Hot Deal
https://rukminim2.flixcart.com/image/612/612/xif0q/t-shirt/t/c/s/xxl-n4107a-austin-wood-original-imagpbygzxfgyvhc.jpeg?q=70,Men Striped Polo Neck Cotton Blend Navy Blue T-Shirt,Austin Wood,"₹1,499",₹379,74% off,Hot Deal
https://rukminim2.flixcart.com/image/612/612/xif0q/t-shirt/y/p/7/m-bpcl-uniform-unisim-original-imah4c6ypbwjzwtk.jpeg?q=70,Men Colorblock Polo Neck Polycotton Blue T-Shirt,UNISIM,₹799,₹380,52% off,Hot Deal
https://rukminim2.flixcart.com/image/612/612/xif0q/t-shirt/0/c/s/xl-men-polyester-compression-half-sleeves-tshirt-kyk-original-imagn8mndejjmus7.jpeg?q=70,Men Solid Round Neck Nylon Black T-Shirt,Kyk,₹499,₹299,40% off,Hot Deal
https://rukminim2.flixcart.com/image/612/612/xif0q/t-shirt/f/u/w/-original-imah9zdfwgcbhzn8.jpeg?q=70,Men Printed Polo Neck Cotton Blend Dark Blue T-Shirt,EyeBogler,"₹1,299",₹287,77% off,Hot Deal
https://rukminim2.flixcart.com/image/612/612/xif0q/t-shirt/u/v/j/m-tsrt-catalog-03-kajaru-original-imah563ssygfcfsj.jpeg?q=70,"Pack of 2 Men Striped Round Neck Polyester Dark Green, ...",KAJARU,₹999,₹346,65% off,Hot Deal
https://rukminim2.flixcart.com/image/612/612/xif0q/t-shirt/i/u/7/xxl-tgy-nvrnplaind164-tripr-original-imah8cnndmgtgbxx.jpeg?q=70,"Pack of 2 Men Solid Round Neck Cotton Blend Blue, Grey ...",TRIPR,"₹1,499",₹305,79% off,Hot Deal
https://rukminim2.flixcart.com/image/612/612/xif0q/t-shirt/t/p/x/xl-ges2889-gespo-original-imahcgvtfgyzraxg.jpeg?q=70,Men Printed Round Neck Pure Cotton Yellow T-Shirt,GESPO,"₹1,499",₹429,71% off,Only few left
https://rukminim2.flixcart.com/image/612/612/xif0q/t-shirt/h/8/z/m-ts62-vebnor-original-imah3zmfeyzxewej.jpeg?q=70,Men Printed Polo Neck Polyester Light Green T-Shirt,VeBNoR,₹999,₹166,83% off,Hot Deal
https://rukminim2.flixcart.com/image/612/612/xif0q/t-shirt/u/z/b/-original-imagyk8pfc6fsn2h.jpeg?q=70,Men Solid Round Neck Polyester Black T-Shirt,Kyk,₹749,₹319,57% off,Hot Deal
https://rukminim2.flixcart.com/image/612/612/xif0q/t-shirt/e/e/j/m-tdgy-mrrnplaind164-tripr-original-imah8cnnvybxmj5w.jpeg?q=70,Pack of 2 Men Solid Round Neck Cotton Blend Multicolor ...,TRIPR,"₹1,499",₹305,79% off,Hot Deal
https://rukminim2.flixcart.com/image/612/612/xif0q/t-shirt/a/r/t/m-cu8-virat-kohli18rcb-yutu-original-imahbpxfwhayezma.jpeg?q=70,Men Typography V Neck Polyester Multicolor T-Shirt,YUTU,₹923,₹246,73% off,Only few left
https://rukminim2.flixcart.com/image/612/612/xif0q/t-shirt/e/u/l/xxl-collar-tshirt-for-men-n-and-j-original-imah9n9upxn9u7xg.jpeg?q=70,Men Solid Polo Neck Polyester Light Green T-Shirt,N AND J,₹799,₹295,63% off,Hot Deal
https://rukminim2.flixcart.com/image/612/612/xif0q/t-shirt/d/j/9/xxs-rcb-vrt01-dostitch-original-imahcpdynsw6gtrq.jpeg?q=70,Men Printed V Neck Polyester Multicolor T-Shirt,DOSTITCH,₹999,₹391,60% off,
https://rukminim2.flixcart.com/image/612/612/xif0q/t-shirt/b/h/b/m-mn23-rn-rgln-hs-os-pista-blk-bstn-maniac-original-imahce9ths9jbbqj.jpeg?q=70,Men Colorblock Round Neck Pure Cotton Green T-Shirt,MANIAC,"₹1,659",₹579,65% off,Only few left
